construct,method,run,score,gaps_even,gaps_odd,long_gaps,single_even,single_odd,saturday_pairs,max_group_day,unplaced,seconds
teacher,hillclimb,1,17120,0,0,0,1,0,0,4,0,45
teacher,hillclimb,2,16320,0,0,0,1,0,0,4,0,45
teacher,hillclimb,3,16840,0,0,0,1,0,0,4,0,45
teacher,hillclimb,4,21600,0,0,0,1,0,0,4,0,45
teacher,hillclimb,5,15300,0,0,0,1,0,0,3,0,45
teacher,sa,1,27300,0,0,0,1,0,0,4,0,45
teacher,sa,2,23500,0,0,0,1,0,0,4,0,45
teacher,sa,3,15860,0,0,0,1,0,0,4,0,45
teacher,sa,4,21000,0,0,0,1,0,0,4,0,45
teacher,sa,5,20720,0,0,0,1,0,0,4,0,45
teacher,tabu,1,41820,0,0,0,2,0,0,4,0,45
teacher,tabu,2,51700,0,1,0,2,0,0,4,0,45
teacher,tabu,3,41700,0,0,0,2,0,0,4,0,45
teacher,tabu,4,41940,0,0,0,2,0,0,4,0,45
teacher,tabu,5,51760,0,1,0,2,0,0,4,0,45
teacher,ga,1,24540,0,0,0,2,0,0,3,0,45
teacher,ga,2,20220,0,0,0,1,0,0,4,0,45
teacher,ga,3,29680,0,0,0,1,1,0,4,0,45
teacher,ga,4,43520,1,0,0,2,0,0,4,0,45
teacher,ga,5,50160,0,1,0,3,0,0,4,0,45
teacher,lns,1,34940,0,0,0,2,0,0,4,0,45
teacher,lns,2,22840,0,0,0,1,0,0,4,0,45
teacher,lns,3,37940,0,0,0,2,0,0,5,0,45
teacher,lns,4,40780,0,0,0,1,0,0,4,0,45
teacher,lns,5,44100,0,1,0,2,0,0,4,0,45
dsatur,hillclimb,1,16900,0,0,0,1,0,0,4,0,45
dsatur,hillclimb,2,25180,0,0,0,1,0,0,5,0,45
dsatur,hillclimb,3,25400,0,0,0,2,0,0,4,0,45
dsatur,hillclimb,4,27720,0,0,0,2,0,0,4,0,45
dsatur,hillclimb,5,38320,0,1,0,2,0,0,4,0,45
dsatur,sa,1,21960,0,0,0,1,0,0,4,0,45
dsatur,sa,2,18200,0,0,0,1,0,0,4,0,45
dsatur,sa,3,19660,0,0,0,1,0,0,4,0,45
dsatur,sa,4,17960,0,0,0,1,0,0,4,0,45
dsatur,sa,5,18500,0,0,0,1,0,0,4,0,45
dsatur,tabu,1,19700,0,0,0,1,0,0,4,0,35
dsatur,tabu,2,17800,0,0,0,1,0,0,4,0,45
dsatur,tabu,3,19700,0,0,0,1,0,0,4,0,45
dsatur,tabu,4,18600,0,0,0,1,0,0,4,0,45
dsatur,tabu,5,18600,0,0,0,1,0,0,4,0,45
dsatur,ga,1,27040,0,0,0,2,0,0,4,0,45
dsatur,ga,2,27700,0,0,0,2,0,0,4,0,45
dsatur,ga,3,35180,0,1,0,2,0,0,4,0,45
dsatur,ga,4,24300,0,0,0,2,0,0,3,0,45
dsatur,ga,5,28820,0,0,0,1,1,0,4,0,45
dsatur,lns,1,19100,0,0,0,1,0,0,4,0,45
dsatur,lns,2,29900,0,0,0,1,0,0,4,0,45
dsatur,lns,3,32260,0,0,0,2,0,0,4,0,45
dsatur,lns,4,34060,0,0,0,2,0,0,4,0,45
dsatur,lns,5,22680,0,0,0,1,0,0,4,0,45
